timestamp,open,high,low,close,volume
2026-06-09,988.1750,989.1500,854.3500,935.8900,73448646
2026-06-08,938.2650,962.9500,916.5000,949.2800,54097769
2026-06-05,944.4000,961.8900,864.0100,864.0100,77250536
2026-06-04,1007.1000,1036.3699,971.6800,996.0000,54917159
2026-06-03,1079.0100,1089.2900,1038.5000,1079.5700,40324175
2026-06-02,1050.0000,1076.5600,1017.2010,1064.1000,47555370
2026-06-01,1009.7200,1046.9700,1009.5000,1035.5000,46552116
2026-05-29,957.0000,981.0000,940.5100,971.0000,60498561
2026-05-28,929.8300,949.4899,904.7800,923.5200,49694349
2026-05-27,955.6600,956.1600,888.1500,928.4100,72295713
2026-05-26,820.5000,916.7999,820.2950,895.8800,76560763
2026-05-22,756.8150,780.1999,747.2000,751.0000,36002915
2026-05-21,736.3600,764.9000,732.2000,762.1000,42461460
2026-05-20,734.9550,735.6800,700.6600,731.9900,47754460
2026-05-19,665.5800,725.9500,652.2100,698.7400,61792066
2026-05-18,750.4600,757.0000,663.2500,681.5400,60042491
2026-05-15,732.5700,749.5900,719.0000,724.6600,48519043
2026-05-14,787.6200,812.0000,775.6300,776.0100,42142707
2026-05-13,813.1550,814.9500,779.4700,803.6300,54875148
2026-05-12,774.7000,782.7600,706.6010,766.5800,73742954
2026-05-11,792.9800,818.6700,768.0000,795.3300,70972938
2026-05-08,676.4500,747.2100,676.2100,746.8100,65130914
2026-05-07,649.8300,683.0900,635.4201,646.6300,47527514
2026-05-06,660.3700,667.6700,627.5800,666.5900,55725835
2026-05-05,609.7750,651.7400,605.4700,640.2000,64268503
2026-05-04,560.6000,592.7990,557.7600,576.4500,46043705
2026-05-01,511.7800,545.9100,510.2100,542.2100,40215252
2026-04-30,529.7400,535.5000,502.5750,517.1600,36554397
2026-04-29,526.0000,531.0200,508.8001,518.4600,36248450
2026-04-28,503.5400,518.8333,488.2300,504.2900,44816645
2026-04-27,510.5600,531.3600,510.0185,524.5600,41298792
2026-04-24,495.9150,506.9900,489.3600,496.7200,35379587
2026-04-23,482.2800,493.6199,471.8000,481.7200,38178002
2026-04-22,462.9300,491.9800,458.5600,487.4800,45998149
2026-04-21,451.3200,457.8200,441.3000,449.3800,27733985
2026-04-20,458.2500,464.5600,435.9000,448.4200,32013562
2026-04-17,466.8500,470.9700,452.2000,455.0700,33405025
2026-04-16,452.9600,462.3400,444.3800,457.2300,33626377
2026-04-15,457.6250,463.9500,439.3200,456.2300,40370110
2026-04-14,434.3500,465.7800,424.8600,465.6600,52534896
2026-04-13,416.4700,426.8800,408.5000,426.5600,37015799
2026-04-10,420.2900,423.8600,410.0500,420.5900,36377568
2026-04-09,407.6100,423.9400,398.4400,421.5100,43100965
2026-04-08,415.1300,416.0000,398.8800,406.7300,49216633
2026-04-07,374.1250,379.2499,364.1000,377.5800,40224123
2026-04-06,373.8000,385.0768,370.6100,377.7600,41414860
2026-04-02,341.3400,366.9399,340.2000,366.2400,51498685
2026-04-01,348.9050,377.8899,343.0000,367.8500,74429797
2026-03-31,321.6700,337.8400,311.4900,337.8400,73551844
2026-03-30,362.6600,362.8100,318.4000,321.8000,73833238
2026-03-27,359.8600,368.7000,354.0601,357.2200,45806655
2026-03-26,370.0200,374.2500,350.0000,355.4600,54515896
2026-03-25,383.0000,388.9200,371.3810,382.0900,55328681
2026-03-24,401.2800,404.9800,388.9100,395.5300,44975061
2026-03-23,426.1450,444.2700,401.5200,404.3500,54807325
2026-03-20,443.9150,449.1000,415.3601,422.9000,64224943
2026-03-19,424.9700,457.2200,421.1100,444.2700,74591901
2026-03-18,464.7600,471.3400,458.3000,461.7300,58973662
2026-03-17,452.5350,462.7299,445.1401,461.6900,43017891
2026-03-16,446.1600,454.8600,437.7450,441.8000,43067574
2026-03-13,413.7500,429.3500,413.0000,426.1300,39260990
2026-03-12,409.9950,413.7300,396.6650,405.3500,31720873
2026-03-11,410.7700,422.7500,405.7900,418.6900,30191430
2026-03-10,394.0100,415.3100,393.6400,403.1100,33745433
2026-03-09,363.9600,390.0000,357.6700,389.3200,35547220
2026-03-06,380.1400,391.1799,367.4500,370.3000,34458784
2026-03-05,398.6000,404.5300,380.3000,397.0500,29960060
2026-03-04,393.6350,407.8800,387.6089,400.7700,32644899
2026-03-03,386.5500,390.0900,374.5500,379.6800,39010902
2026-03-02,401.4700,417.6100,397.0000,412.6700,30049197
2026-02-27,401.8100,417.9600,401.1818,412.3700,28653878
2026-02-26,424.8400,434.0000,401.9600,415.5600,35433455
2026-02-25,426.5000,436.8899,423.0000,429.0000,27296338
2026-02-24,429.2200,436.2700,411.2800,418.0100,33389161
2026-02-23,422.3100,431.6950,415.3001,420.9700,25426639
2026-02-20,415.1800,430.5700,415.1500,428.1700,29894907
2026-02-19,415.8100,420.3150,407.7400,417.3500,21651264
2026-02-18,399.5000,427.8500,394.6000,420.9500,32306578
2026-02-17,400.9500,413.6600,395.3000,399.7800,28549505
2026-02-13,405.1900,420.8800,392.7100,411.6600,33807586
2026-02-12,422.2500,438.7700,411.1600,413.9700,45639117
2026-02-11,395.3850,414.1600,386.5700,410.3400,48474994
2026-02-10,375.9900,382.7900,366.0600,373.2500,35433808
2026-02-09,380.6900,391.8099,370.6800,383.5000,31009558
2026-02-06,377.9650,396.6500,372.8726,394.6900,37196006
2026-02-05,369.6200,390.9300,366.0000,382.8900,38899485
2026-02-04,410.5900,413.0000,363.9010,379.4000,58074935
2026-02-03,442.1600,442.3000,407.5300,419.4400,42166116
2026-02-02,412.1800,442.4300,410.0000,437.8000,37771237
2026-01-30,446.4650,455.5000,407.1300,414.8800,51022881
2026-01-29,439.3700,444.7100,417.7000,435.7900,42675710
2026-01-28,422.4350,438.9400,417.0000,435.2800,42725675
2026-01-27,404.6100,416.4499,399.6000,410.2400,34251357
2026-01-26,395.5000,398.0000,384.3000,389.0900,29193925
2026-01-23,397.1600,412.4299,390.7400,399.6500,35404198
2026-01-22,396.6400,397.7800,376.9200,397.5800,39607596
2026-01-21,372.8500,394.2000,366.7300,389.1100,56712817
2026-01-20,364.6800,381.5599,361.3500,365.0000,48666296
2026-01-16,353.1000,365.8100,352.0400,362.7500,47901925
2026-01-15,345.3250,347.7700,336.2700,336.6300,25370230
